post_id;timestamp;views;reactions;forwards;text;campaign_id;tracking_payload;content_type;channel_id;deep_link
1829;2026-08-04 18:50:00;4200;126;45;C какими айтишницами стоит строить отношения, а какие - ред флаг? В новом ролике разобрал все бигтехи по фактам: Яндекс, ВК, Т-банк, Озон, Сбер;camp_warmup;warmup_p1829;organic_community;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1829
1830;2026-08-05 19:03:00;3800;79;28;Как повысить профессиональный рейтинг. Раньше было достаточно откликнуться на вакансию в красном демоне и ждать приглашения на собес...;camp_warmup;warmup_p1830;expert_guide;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1830
1831;2026-08-06 19:23:00;3100;44;19;Какие пет проекты гарантирует тебе оффер на мл-инженера? Обсудим в новом ролике. Смотрим!;camp_warmup;warmup_p1831;organic_community;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1831
1833;2026-08-07 17:22:00;2900;25;14;Слив алгоритмического собеса в Авито. Смотрим! Разбор реальных задач алгоритмов старт;camp_start_discount_55;start55_p1833;hard_sale_digest;ch_postupashki_main;https://t.me/postupashki_bot?start=start55_p1833
1834;2026-08-08 09:05:00;3400;68;15;Магистратура по e-commerce от РУДН и Wildberries — для тех, кто хочет развиваться в электронной коммерции;camp_warmup;warmup_p1834;organic_community;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1834
1836;2026-08-09 13:32:00;4500;42;33;Дайджест вакансий. Собрали свежие стажировки. До конца дня на СТАРТ скидка 55%!;camp_start_discount_55;start55_p1836;hard_sale_digest;ch_postupashki_main;https://t.me/postupashki_bot?start=start55_p1836
1837;2026-08-09 18:35:00;4100;38;21;Как найти стажировку зарубежом. Последние 6 часов финальной распродажи на СТАРТ -55%!;camp_start_discount_55;start55_p1837;hard_sale_deadline;ch_postupashki_main;https://t.me/postupashki_bot?start=start55_p1837
1838;2026-08-10 16:26:00;3200;11;8;Из процесс-менеджера в продуктового аналитика. Продлеваем распродажу на СТАРТ до конца дня!;camp_start_discount_55;start55_p1838;hard_sale_deadline;ch_postupashki_main;https://t.me/postupashki_bot?start=start55_p1838
1840;2026-08-10 20:33:00;3900;37;16;У России три пути: 18+, ***** и IT. Финальные 4 часа скидки 55% на курсы СТАРТ!;camp_start_discount_55;start55_p1840;hard_sale_deadline;ch_postupashki_main;https://t.me/postupashki_bot?start=start55_p1840
1843;2026-08-11 18:50:00;3700;60;24;Как искать работу в 2026 году. Уже писал про прокачку профессионального рейтинга...;camp_warmup;warmup_p1843;organic_community;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1843
1844;2026-08-12 19:05:00;3500;40;18;Гайд на собесы в СберЗвук Data Analyst. Выпускница курса аналитика про прошла полный цикл отбора;camp_warmup;warmup_p1844;expert_guide;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1844
1845;2026-08-13 10:05:00;3300;35;12;Ozon Tech открыл кейс-чемпионат: реальный шанс прокачать резюме реальными данными бигтеха;camp_warmup;warmup_p1845;organic_community;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1845
1846;2026-08-13 17:33:00;3600;45;15;Знакомимся с учениками Поступашек: Эмиль, Java разработчик ВК;camp_warmup;warmup_p1846;organic_community;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1846
1847;2026-08-14 12:41:00;3400;45;22;Яндекс открыл регистрацию в бесплатные олимпиадные Кружки по программированию и ИИ;camp_warmup;warmup_p1847;organic_community;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1847
1848;2026-08-14 19:52:00;5200;175;65;ВК - кринж или норм? Давайте честно. Разбор культуры разработки и собесов;camp_warmup;warmup_p1848;expert_guide;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1848
1849;2026-08-16 12:20:00;6100;198;84;Охота на волков продолжается. Парень устроился в Cloud.ru со фейковым резюме: последствия;camp_warmup;warmup_p1849;organic_community;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1849
1852;2026-08-16 19:39:00;4300;88;39;LinkedIn: как зарегистрироваться и не словить бан. Главная проф соцсеть;camp_warmup;warmup_p1852;organic_community;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1852
1853;2026-08-17 10:00:00;2900;19;10;МТС приглашает на четвертый сезон True Tech Champ 2026 с призовым фондом 10 млн;camp_warmup;warmup_p1853;organic_community;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1853
1854;2026-08-17 19:05:00;4600;101;48;Гайд на собесы аналитика в Ozon. Реальные вопросы и кейсы от наших выпускников;camp_warmup;warmup_p1854;expert_guide;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1854
1855;2026-08-18 19:05:00;3100;32;14;Наш студент прошел больше 6 этапов собесов, получил 2 оффера и остался ни с чем. Разбор ошибок;camp_warmup;warmup_p1855;expert_guide;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1855
1856;2026-08-19 18:58:00;4900;123;52;Полный цикл отбора в Fast Forward на кванта (HFT). Алгосекции, матстат, теория вероятностей;camp_warmup;warmup_p1856;organic_community;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1856
1857;2026-08-20 19:11:00;4100;80;37;Собрали 9 не самых очевидных стажировок в IT, которые стоит держать на радаре;camp_warmup;warmup_p1857;organic_community;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1857
1859;2026-08-22 13:19:00;4800;56;31;Выходим на новый уровень с линейкой ПРО! Аналитика ПРО, ML ПРО, Backend ПРО и абсолютно новые ИИ-агенты ПРО;camp_pro_ai_ml;proai_p1859;hard_sale_launch;ch_postupashki_main;https://t.me/postupashki_bot?start=proai_p1859
1860;2026-08-23 11:51:00;3600;40;17;Анализ айти рынка. К чему готовиться джунам и мидлам во второй половине 2026 года;camp_warmup;warmup_p1860;organic_community;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1860
1863;2026-08-23 19:20:00;3200;17;11;Полный цикл собесов на Go-разработчика в Авито. Официальный плейбук компании;camp_warmup;warmup_p1863;expert_guide;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1863
1865;2026-08-24 18:10:00;3300;28;15;Какие пет проекты гарантируют тебе оффер на аналитика данных? Смотрим на YouTube!;camp_warmup;warmup_p1865;organic_community;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1865
1866;2026-08-25 16:51:00;3900;70;26;Ученики Поступашек: Никита поступил в ШАД. История подготовки и разбор экзаменов;camp_warmup;warmup_p1866;organic_community;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1866
1868;2026-08-26 17:53:00;3500;75;19;Снова на учебу с GGSEL: софт и сервисы для учебы и работы со скидками;camp_warmup;warmup_p1868;organic_community;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1868
1869;2026-08-26 21:05:00;4400;71;38;Полный гайд по ML-собесам в Яндексе. Система отбора, ML-дизайн, коддинг;camp_pro_ai_ml;proai_p1869;guide_ml;ch_postupashki_main;https://t.me/postupashki_bot?start=proai_p1869
1870;2026-08-28 19:05:00;3400;36;16;Самые интересные события и стажировки в ближайшее время;camp_warmup;warmup_p1870;organic_community;ch_postupashki_main;https://t.me/postupashki_bot?start=warmup_p1870
1872;2026-08-29 21:58:00;3800;24;22;Яндекс обновил контест на стажировку, а их разбор уже выложен на наших курсах ПРО;camp_bigtech_internships;bigtech_p1872;native_solutions;ch_postupashki_main;https://t.me/postupashki_bot?start=bigtech_p1872
